area,cell,lon,lat
65410,45732,13.971029,50.642217
9800,25212,13.927898,50.628487
9602,22271,13.895989,50.617582
9602,22992,13.890112,50.608584
9602,22832,13.895292,50.608843
9602,22272,13.856622,50.592329
9602,22291,13.887091,50.608773
9602,22275,13.85145,50.612374
9602,22993,13.932091,50.637387
9602,34224,13.906782,50.616434
9602,22293,13.884269,50.608562
9602,22292,13.886337,50.607599
9602,20851,13.877097,50.600456
9602,38232,13.888285,50.663395
9602,22331,13.96291,50.554242
9602,22261,13.969769,50.550539
9602,22262,13.981436,50.544095
9800,20553,14.031345,50.51743
9800,29723,13.972658,50.5447
9800,36112,13.972658,50.5447
9602,23572,13.975947,50.547945
9602,23571,14.016156,50.54905
9602,22263,13.976735,50.545435
9800,20551,14.062892,50.495812
9800,22413,14.01516,50.511963
9800,29863,14.01516,50.511963
9800,44303,14.031928,50.513354
9800,22253,14.047512,50.505005
9800,44312,14.032102,50.509699
9800,22251,14.052498,50.517888
9800,20552,14.089087,50.478953
9800,22393,14.034786,50.515785
9800,44302,14.081509,50.485649
9800,22392,14.0567,50.504306
9800,22252,14.078686,50.485021
9800,44311,14.086546,50.488405
9800,22442,14.10657,50.477585
9800,38172,14.127919,50.455436
9800,45612,14.143488,50.456462
9800,22242,14.108875,50.466067
9800,24322,14.11802,50.452695
9800,22322,14.140625,50.448523
9800,22463,14.185155,50.422009
7100,25772,14.165138,50.440408
9800,22231,14.162477,50.437183
9800,23482,14.170259,50.462534
9800,45171,14.210847,50.425539
9800,22321,14.176547,50.424341
9800,22241,14.156411,50.440765
9800,45173,14.180955,50.4233
9800,22232,14.227186,50.394059
9800,38473,14.225569,50.437702
9800,22221,14.260884,50.36178
9800,22311,14.264862,50.362858
9800,22472,14.241644,50.383568
9800,20622,14.192287,50.440792
9800,19931,14.259498,50.36445
9800,45172,14.198416,50.417788
9800,22222,14.261174,50.362808
7100,45303,14.21354,50.404733
9800,26663,14.278635,50.34585
9800,22223,14.278635,50.34585
9800,29861,14.341439,50.284167
9800,26931,14.310265,50.31828
7100,36081,14.350114,50.280695
9800,19932,14.309248,50.323565
7100,22093,14.326298,50.304795
7100,29343,14.332589,50.299072
7200,13163,14.381094,50.255677
9800,19933,14.255206,50.364007
7100,36083,14.346935,50.293542
7100,21392,14.34563,50.291586
7100,21511,14.315654,50.314787
7100,24483,14.353334,50.294501
7100,21913,14.413836,50.220935
7100,29833,14.404099,50.280126
7100,22206,14.401485,50.23131
7100,22041,14.320074,50.305899
7100,29342,14.388943,50.242264
7100,22872,14.390189,50.217153
7100,29341,14.410369,50.220667
7100,21512,14.378303,50.256037
7100,22201,14.393221,50.238218
7100,20462,14.381812,50.257136
9800,21871,14.416145,50.221038
7100,44953,14.269823,50.245202
7100,22205,14.440497,50.193156
7100,22204,14.49033,50.219427
7100,21643,14.467885,50.159895
7100,29452,14.461467,50.170098
7700,29301,14.414736,50.210595
7100,15673,14.45347,50.175258
7100,29772,14.455052,50.171656
7700,29732,14.420584,50.207219
7100,29451,14.431192,50.195972
7301,12993,14.484456,50.160029
7100,20262,14.484057,50.16455
7300,12213,14.516104,50.133271
7300,12211,14.520442,50.137584
7301,19671,14.490262,50.143379
7301,12803,14.486303,50.144839
7301,12813,14.486727,50.142572
7301,13803,14.486527,50.15372
7301,13731,14.484599,50.158285
7301,12992,14.486857,50.14304
7301,19321,14.489889,50.148554
7301,13732,14.485287,50.146611
7301,12011,14.482427,50.133723
7301,11041,14.507593,50.128037
7301,19324,14.48587,50.13548
7301,19323,14.494471,50.13625
7301,12872,14.479625,50.143988
7301,12001,14.488846,50.14339
7301,12871,14.480806,50.145869
7100,22156,14.463696,50.164004
7301,12802,14.49901,50.135471
7301,10871,14.482672,50.143953
7301,19401,14.490589,50.155405
7301,12132,14.509568,50.126112
7301,10692,14.516535,50.120148
7301,19402,14.513454,50.118992
7301,12142,14.513924,50.124876
7301,12133,14.498764,50.140204
7301,12131,14.515886,50.136766
7301,12202,14.513157,50.115875
7301,12181,14.515738,50.113091
7301,12201,14.526394,50.114015
7301,10641,14.502056,50.112456
7400,14831,14.53363,50.074506
7301,12182,14.526159,50.107304
7301,12171,14.505333,50.113041
7300,12223,14.518302,50.118492
7301,11561,14.517556,50.1123
7300,13211,14.544406,50.107406
7300,12881,14.532895,50.105357
7300,10891,14.529713,50.106368
7300,19231,14.538894,50.113259
7300,12222,14.535094,50.106908
7300,13212,14.538358,50.105951
7300,12753,14.540601,50.106551
7300,12763,14.551797,50.107527
7300,19232,14.559517,50.109594
7300,12752,14.54937,50.107667
7300,12761,14.568711,50.110619
7300,12762,14.570674,50.103856
7300,11631,14.572093,50.108951
7300,19023,14.569217,50.11013
7300,11632,14.578378,50.107084
7300,19021,14.574433,50.108389
7300,12771,14.581948,50.108842
7300,12833,14.575364,50.108717
7300,19373,14.575143,50.100847
7300,12772,14.583853,50.101434
7300,12832,14.445989,50.152076
7300,19371,14.636683,50.108637
7300,13793,14.625002,50.105392
7300,14491,14.601591,50.108095
7300,15181,14.648935,50.112654
7300,15182,14.652706,50.113299
7300,12842,14.639335,50.109087
7300,13791,14.638391,50.108521
7300,22112,14.665296,50.120052
